DEL_TICKET_NO	DOCUMENT_NO	STORE_NO	ARLO_NO	TICKET_STATUS_CODE	DSD_DEL_TICKET_NO	DSD_RET_TICKET_NO	MANUAL_DEL_TICKET_NO	MANUAL_RET_TICKET_NO	CASH_IND	CUST_TYPE	DEL_TOTAL_AMT	RET_TOTAL_AMT	RET_TICKET_NO	DEL_TICKET_DISCOUNT_AMT	RET_TICKET_DISCOUNT_AMT	DEX_IND	DEX_SIGNATURE	PRINT_IND	TRANS_DATE	TRANS_START_HOUR	TRANS_START_MINUTE	TRANS_END_HOUR	TRANS_END_MINUTE	STORE_DELIVERY_DATE	PO_NUMBER	UPLOAD_IND	CUSTOMER_ID	TICKET_TYPE	TICKET_SURCHARGE_AMT	RET_DEX_SIGNATURE	CARRY_OVER_IND	EXTRACT_DEL_TOTAL_AMT	EXTRACT_RET_TOTAL_AMT	DEL_QTY	RET_QTY	DEL_SALES_TAX_AMT	RET_SALES_TAX_AMT	INVOICE_PRINTED_TIME	SALES_TYPE
03103138419,00005866,400090813,08,F,,,,,N,F,207.07,16.75,03103138420,0.00,0.00,Y,D15A,1,2017-02-14 00:00:00.000,9,37,9,48,2017-02-14 00:00:00.000,,1,0044823,Y,0.00,D15A,0,207.07,16.75,66,-5,0.00,0.00,2017-02-14 09:44:00.000, 
03103138421,,400090813,06,F,,,,,N,F,20.11,7.54,03103138422,0.00,0.00,Y,D15A,0,2017-02-14 00:00:00.000,9,37,9,48,2017-02-14 00:00:00.000,,1,0044823,Y,0.00,D15A,0,20.11,7.54,8,-3,0.00,0.00,2017-02-14 09:44:05.000, 
03103138423,00005871,103060001,08,F,,,,,N,F,83.53,0.00,03103138424,0.00,0.00, ,,1,2017-02-16 00:00:00.000,2,15,9,44,2017-02-16 00:00:00.000,,1,0097790,Y,0.00,,0,83.53,0.00,36,0,0.00,0.00,2017-02-16 02:16:45.000, 
03103138425,00005876,900360126,01,F,,,,,N,F,741.06,0.00,03103138426,0.00,0.00, ,,1,2017-02-16 00:00:00.000,2,17,6,37,2017-02-16 00:00:00.000,,1,0088467,Y,0.00,,0,741.06,0.00,379,0,0.00,0.00,2017-02-16 05:35:19.000, 
03103138427,00005872,008505221,08,F,,,,,N,F,52.90,0.00,,0.00,0.00, ,,1,2017-02-16 00:00:00.000,2,17,9,42,2017-02-16 00:00:00.000,,1,0068420,N,0.00,,0,52.90,0.00,23,0,0.00,0.00,2017-02-16 02:17:54.000, 
03103138428,00005875,900360111,01,F,,,,,N,F,515.60,2.99,03103138429,0.00,0.00, ,,1,2017-02-16 00:00:00.000,3,36,5,1,2017-02-16 00:00:00.000,,1,0038053,Y,0.00,,0,515.60,2.99,255,-1,0.00,0.00,2017-02-16 04:17:12.000, 
03103138430,00005877,600095447,01,F,,,,,N,F,563.80,21.47,03103138431,0.00,0.00, ,,1,2017-02-16 00:00:00.000,6,59,7,46,2017-02-16 00:00:00.000,,1,0061425,Y,0.00,,0,563.80,21.47,270,-10,0.00,0.00,2017-02-16 07:45:47.000, 
03103138432,00005878,511301822,01,F,,,,,N,F,139.44,2.12,03103138433,0.00,0.00, ,,1,2017-02-16 00:00:00.000,8,4,9,1,2017-02-16 00:00:00.000,,1,0048257,Y,0.00,,0,139.44,2.12,66,-1,0.00,0.00,2017-02-16 09:01:13.000, 
03103138434,,400090813,01,F,,,,,N,F,350.23,0.00,03103138435,0.00,0.00,Y,882E,0,2017-02-16 00:00:00.000,9,6,9,15,2017-02-16 00:00:00.000,,1,0044823,Y,0.00,,0,350.23,0.00,108,0,0.00,0.00,2017-02-16 09:08:31.000, 
03103138436,00005879,400090813,08,F,,,,,N,F,147.98,0.00,03103138437,0.00,0.00,Y,882E,1,2017-02-16 00:00:00.000,9,7,9,15,2017-02-16 00:00:00.000,,1,0044823,Y,0.00,,0,147.98,0.00,45,0,0.00,0.00,2017-02-16 09:08:26.000, 
