PRODUCT_ID	ITEM_NO	COMPANY_CODE	UPC_CODE	SUB_UPC_CODE	PRODUCT_GROUP_CODE	PRODUCT_CAT_CODE	FINANCIAL_CAT_CODE	PRODUCT_DESC	SHELF_LIFE_DAY_1	SHELF_LIFE_DAY_2	SHELF_LIFE_DAY_3	SHELF_LIFE_DAY_4	SHELF_LIFE_DAY_5	SHELF_LIFE_DAY_6	SHELF_LIFE_DAY_7	FORECAST_TYPE	RETURNS_ALLOWED_IND	SPREAD_GROUP	SALES_ALLOWED_IND	FRESH_RETURNS_ALLOWED_IND	DEX_COUNTRY_CODE	DEX_PRODUCT_TYPE	PACK_SIZE_QTY	LONG_DESCRIPTION	NO_DNL_DATE
00004399,0001556,71025,61556,00,1257,1050,1000,ANZ CLUB RL8P15Z,06,07,07,06,07,07,07,V,Y,0000015,Y, ,0,0,0,ANZ CLUB RL8P15Z,NULL
00004407,0000911,71025,61563,00,1257,1050,1000,ANZ KAISER 16P32,06,07,07,06,07,07,07,V,Y,0000015,Y, ,0,0,0,ANZ KAISER 16P32,NULL
00004415,0001989,71025,61710,00,1530,6210,1000,D'ITAL CRUST 8,06,07,07,06,07,07,07,V,Y,0000015,Y, ,0,0,0,D'ITAL CRUST 8,NULL
00004416,0005931,71025,61711,00,1530,6210,1000,D'ITAL KAISER 8,06,07,07,06,07,07,07,V,Y,0000015,Y, ,0,0,0,D'ITAL KAISER 8,NULL
00004418,0003765,71025,61713,00,1530,6210,1000,D'ITAL STEAK PL6,06,07,07,06,07,07,07,V,Y,0000015,Y, ,0,0,0,D'ITAL STEAK PL6,NULL
00004422,0002215,71025,61716,00,1520,6210,1000,DITAL PLN $3.99,06,07,07,06,07,07,07,V,Y,0000015,Y, ,0,0,0,DITAL PLN $3.99 /PRICING $3.99,NULL
00004423,0002225,71025,61717,00,1520,6210,1000,D.D.D'ITAL SD,06,07,07,06,07,07,07,V,Y,0000015,Y, ,0,0,0,D.D.D'ITAL SD/SEEDED,NULL
00004425,0002212,71025,61720,00,1520,6210,1000,D'ITL PLN 2P 40Z,06,07,07,06,07,07,07,V,Y,0000015,Y, ,0,0,0,D'ITL PLN 2P 40Z,NULL
00004650,0000723,71305,03546,00,1545,6210,1000,M COUNT 12GRAIN,06,07,07,06,07,07,07,V,Y,0000068,Y, ,0,0,0,M COUNT 12GRAIN,NULL
00004675,0000863,71305,05525,00,1545,6210,1000,M ITALIAN PLAIN,06,07,07,06,07,07,07,V,Y,0000067,Y, ,0,0,0,M ITALIAN PLAIN,NULL
00004676,0005367,71305,05526,00,1545,6210,1000,M ITALIAN SEEDED,06,07,07,06,07,07,07,V,Y,0000067,Y, ,0,0,0,M ITALIAN SEEDED,NULL
00004678,0005365,71305,05530,00,1545,6210,1000,M COUNTRY POTATO,06,07,07,06,07,07,07,V,Y,0000068,Y, ,0,0,0,M COUNTRY POTATO,NULL
00004691,0003893,71305,06451,00,1545,6210,1000,M 6"ITAL LONG 6,06,07,07,06,07,07,07,V,Y,0000067,Y, ,0,0,0,M 6"ITAL LONG 6,NULL
00004693,0003903,71305,06452,00,1545,6210,1000,M 8"ITAL HOAG 6,06,07,07,06,07,07,07,V,Y,0000067,Y, ,0,0,0,M 8"ITAL HOAG 6,NULL
00004696,0003833,71305,07256,00,1545,6210,1000,M ITAL KAISER 8,06,07,07,06,07,07,07,V,Y,0000067,Y, ,0,0,0,M ITAL KAISER 8,NULL
00004697,0003803,71305,07351,00,1545,6210,1000,M ITALIAN CLUB 8,06,07,07,06,07,07,07,V,Y,0000067,Y, ,0,0,0,M ITALIAN CLUB 8,NULL
00004713,0005358,71305,43437,00,1545,6210,1000,M ITALIAN 2PK,06,07,07,06,07,07,07,V,Y,0000067,Y, ,0,0,0,M ITALIAN 2PK,NULL
00004847,0006532,71330,02104,00,1262,1050,1000,SLICED SESAME RL,06,07,07,06,07,07,07,V,Y,0000015,Y, ,0,0,0,SLICED SESAME RL,NULL
00004852,0006342,71330,02126,00,1262,1050,1000,PB IND4"PL SND12,06,07,07,06,07,07,07,V,Y,0000015,Y, ,0,0,0,PB IND4"PL SND12,NULL
00004866,0006240,71330,02240,00,1233,1050,1000,FH BRN & SRV 12P,06,07,07,06,07,07,07,V,Y,0000015,Y, ,0,0,0,FH BRN & SRV 12P,NULL
00004868,0008413,71330,02293,00,1230,1050,1000,FRI EM 6PK 12Z,06,07,07,06,07,07,07,V,Y,0000015,Y, ,0,0,0,FRI EM 6PK 12Z,NULL
00004873,0006306,71330,02306,00,1205,1050,1000,FH WHI LARGE 20Z,06,07,07,06,07,07,07,V,Y,0000015,Y, ,0,0,0,FH WHI LARGE 20Z,NULL
00004892,0006417,71330,02417,00,1235,1050,1000,FH HAMS 8P12Z,06,07,07,06,07,07,07,V,Y,0000015,Y, ,0,0,0,FH HAMS 8P12Z,NULL
00004894,0008313,71330,02420,00,1205,1050,1000,FH2.49WHI FBC 16,06,07,07,06,07,07,07,V,Y,0000015,Y, ,0,0,0,FH2.49WHI FBC 16/MTRO ATLANTIC,NULL
00004895,0007473,71330,02420,01,1205,1050,1000,FH FAMILY WHIT16,06,07,07,06,07,07,07,V,Y,0000015,Y, ,0,0,0,FH FAMILY WHIT16/NORTHEAST,NULL
00004903,0006473,71330,02473,00,1215,1050,1000,SOFT RYE PLAIN,06,07,07,06,07,07,07,V,Y,0000064,Y, ,0,0,0,SOFT RYE PLAIN,NULL
00004905,0000113,71330,02495,00,1215,1050,1000,FH SFT SED RYE20,06,07,07,06,07,07,07,V,Y,0000015,Y, ,0,0,0,FH SFT SED RYE20,NULL
00004919,0000123,71330,02651,00,1227,1050,1000,FH RAISIN BREAD,06,07,07,06,07,07,07,V,Y,0000015,Y, ,0,0,0,FH RAISIN BREAD,NULL
00004921,0006328,71330,02653,00,1255,1050,1000,FRI PL CROUTONS,02,03,03,02,03,03,04,N,Y,0000015,Y, ,0,0,0,FRI PL CROUTONS,NULL
00004922,0006329,71330,02654,00,1255,1050,1000,FRI SEAS CROUTON,02,03,03,02,03,03,04,N,Y,0000015,Y, ,0,0,0,FRI SEAS CROUTON,NULL
00004931,0006811,71330,02811,00,1250,1050,1000,FH NE HOTS16P22Z,06,07,07,06,07,07,07,V,Y,0000015,Y, ,0,0,0,FH NE HOTS16P22Z,NULL
